question_id,language,question,reference,final_answer,answer_strategy,generation_used,generation_attempts,retry_used,support_status,target_language,language_validation_passed,language_validation_reason,runtime_language_validation_passed,grounding_validation_passed,grounding_validation_reason,fact_tokens_required,fact_tokens_preserved,fact_preservation_applicable,automatic_precision,automatic_recall,automatic_f1,source,page,supporting_excerpt,retrieval_seconds,answering_seconds,generation_seconds,retry_seconds,total_seconds,prompt_tokens,completion_tokens,tokens_per_second,rss_bytes,available_ram_bytes,swap_used_bytes,error,answer_bank_enabled,reranker_enabled
Q001,english,What is the title of the undergraduate prospectus?,"The title is Prospectus (Undergraduate Program) 2017-18 for the Department of Computer Science & Engineering, UAP.",I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,False,0,False,insufficient,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,"[""18"", ""2017""]",False,True,0.07692307692307693,0.07142857142857142,0.07407407407407408,,,,3.8442000000000007,0.0014504000000670203,0.0,0.0,3.8480223999999907,0,0,0.0,2020278272,2130935808,1088950272,,False,False
Q001,bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",ambiguous,False,0,False,ambiguous,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,"[""18"", ""2017""]",False,True,0.0,0.0,0.0,,,,0.19244800000024043,0.00034890000006271293,0.0,0.0,0.19474300000001676,0,0,0.0,2021085184,2115457024,1088950272,,False,False
Q001,banglish,Undergraduate prospectus-tar title ki?,Title holo UAP-er Department of Computer Science & Engineering-er Prospectus (Undergraduate Program) 2017-18.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,False,0,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,False,UNSUPPORTED_FACTUAL_TOKENS,"[""18"", ""2017""]",False,True,0.0,0.0,0.0,,,,0.17801349999990634,0.00021459999970829813,0.0,0.0,0.18017439999994167,0,0,0.0,2020970496,2117214208,1088950272,,False,False
Q002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",The prospectus was published by the Department of Computer Science & Engineering at the University of Asia Pacific.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,[],False,False,0.9285714285714286,1.0,0.962962962962963,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence",0.17361549999986892,31.083617400000094,31.075405200000205,0.0,31.333402000000206,260,20,0.6435957913108682,4726759424,363208704,1795461120,,False,False
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,প্রসপেক্টাসটি প্রকাশক তথ্য দেওয়া হয়নি।,gguf_generation,True,1,False,supported,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,FACTUAL_TOKENS_SUPPORTED,[],False,False,0.2,0.08333333333333333,0.11764705882352941,curricula_BSc-Curriculum-New.pdf,64,"4. E. Swokpwski, Calculus, Boston, USA: PWS Publisher.",2.248684299999695,25.98496559999967,25.98279139999977,0.0,28.252278099999785,394,42,1.6164544968790526,4895989760,223444992,1797529599,,False,False
Q002,banglish,Prospectus-ta ke publish koreche?,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,True,1,False,insufficient,english,False,BANGLISH_BODY_PURE_ENGLISH,True,False,GENERATION_REJECTED,[],False,False,0.07692307692307693,0.09090909090909091,0.08333333333333334,,,,3.844918900000266,32.81735039999967,32.80731319999995,0.0,36.74135010000009,263,18,0.548658157108703,4661379072,311136256,1624743936,,False,False
Q003,english,What edition and date are listed for the prospectus?,"The prospectus is the 13th Edition, July 2017.",I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,False,0,False,insufficient,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,"[""2017"", ""july2017""]",False,True,0.07692307692307693,0.14285714285714285,0.1,,,,2.981612000000041,0.007358800000019983,0.0,0.0,3.000991200000044,0,0,0.0,5362245632,512901120,1935671296,,False,False
Q003,bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,"প্রসপেক্টাসটি 13th Edition, July 2017।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,False,0,False,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,"[""2017"", ""july2017""]",False,True,0.0,0.0,0.0,,,,0.30619130000013683,0.0006794000000809319,0.0,0.0,0.3086785999998938,0,0,0.0,5378174976,478031872,1935540224,,False,False
Q003,banglish,Prospectus-e kon edition ar date deya ache?,"Prospectus-ta 13th Edition, July 2017.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,False,0,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,True,GENERATION_NOT_USED,"[""2017"", ""july2017""]",False,True,0.0,0.0,0.0,,,,0.19946399999980713,0.0003446000000622007,0.0,0.0,0.20162829999981113,0,0,0.0,5380423680,471957504,1935540224,,False,False
Q004,english,What email address is listed for correspondence with the CSE Head?,The correspondence email for the CSE Head is headcse@uap-bd.edu.,I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,False,0,False,insufficient,english,True,ENGLISH_BODY_VALID,True,True,GENERATION_NOT_USED,"[""headcse@uap-bd.edu""]",False,True,0.07692307692307693,0.125,0.09523809523809525,,,,0.21757929999967018,0.0004956000002493965,0.0,0.0,0.22000989999969534,0,0,0.0,5381865472,467718144,1935540224,,False,False
